Date,PNL (OX),Cumulative PNL (OX)
2024-11-08,23770100.0,-481380009.0
2024-11-09,-30217737.0,-511597746.0
2024-11-10,-79511059.0,-591108805.0
2024-11-11,-213458316.0,-804567121.0
2024-11-12,-20523163.0,-825090284.0
2024-11-13,-26168299.0,-851258583.0
2024-11-14,18481171.0,-832777412.0
2024-11-15,-107049491.0,-939826903.0
2024-11-16,72051716.0,-867775187.0
2024-11-17,128178686.0,-739596501.0
2024-11-18,-22898842.0,-762495343.0
2024-11-19,136016218.0,-626479125.0
2024-11-20,32511978.0,-593967147.0
2024-11-21,-161538197.0,-755505344.0
2024-11-22,100560476.0,-654944868.0
2024-11-23,-16745970.0,-671690838.0
2024-11-24,53512436.0,-618178402.0
2024-11-25,88056800.0,-530121602.0
2024-11-26,151868897.0,-378252705.0
2024-11-27,-363364953.0,-741617658.0
2024-11-28,109237972.0,-632379686.0
2024-11-29,-34171888.0,-666551574.0
2024-11-30,-3914954.0,-670466528.0
2024-12-01,-875757.0,-671342285.0
2024-12-02,55145827.0,-616196458.0
2024-12-03,-37996697.0,-654193155.0
2024-12-04,-60156285.0,-714349440.0
2024-12-05,160577620.0,-553771820.0
2024-12-06,-239905301.0,-793677121.0
2024-12-07,30351425.0,-763325696.0
2024-12-08,-10527368.0,-773853064.0
2024-12-09,584121953.0,-189731111.0
2024-12-10,-41811905.0,-231543016.0
2024-12-11,-122077896.0,-353620912.0
2024-12-12,-2632347.0,-356253259.0
2024-12-13,-28646847.0,-384900106.0
2024-12-14,35276424.0,-349623682.0
2024-12-15,-15181066.0,-364804748.0
2024-12-16,-9534060.0,-374338808.0
2024-12-17,14627149.0,-359711659.0
2024-12-18,52649670.0,-307061989.0
2024-12-19,91445967.0,-215616022.0
2024-12-20,-15070940.0,-230686962.0
2024-12-21,65891082.0,-164795880.0
2024-12-22,40410530.0,-124385350.0
2024-12-23,-71392367.0,-195777717.0
2024-12-24,-51835593.0,-247613310.0
2024-12-25,3530678.0,-244082632.0
2024-12-26,85941862.0,-158140770.0
2024-12-27,18566665.0,-139574105.0
2024-12-28,-58058887.0,-197632992.0
2024-12-29,98037054.0,-99595938.0
2024-12-30,-7874427.0,-107470365.0
2024-12-31,-10719165.0,-118189530.0
2025-01-01,-53039044.0,-171228574.0
2025-01-02,-92381475.0,-263610049.0
2025-01-03,-83871545.0,-347481594.0
2025-01-04,1493446.0,-345988148.0
2025-01-05,550052.0,-345438096.0
2025-01-06,-29986875.0,-375424971.0
2025-01-07,96308661.0,-279116310.0
2025-01-08,46157112.0,-232959198.0
2025-01-09,121718444.0,-111240754.0
2025-01-10,-59524410.0,-170765164.0
2025-01-11,-21751876.0,-192517040.0
2025-01-12,28561438.0,-163955602.0
2025-01-13,-24416397.0,-188371999.0
2025-01-14,-89329627.0,-277701626.0
2025-01-15,-147572421.0,-425274047.0
2025-01-16,47741519.0,-377532528.0
2025-01-17,-67891608.0,-445424136.0
2025-01-18,94765834.0,-350658302.0
2025-01-19,3447486.0,-347210816.0
2025-01-20,-41075642.0,-388286458.0
2025-01-21,-41028795.0,-429315253.0
2025-01-22,-61879565.0,-491194818.0
2025-01-23,-2168932.0,-493363750.0
2025-01-24,12800370.0,-480563380.0
2025-01-25,-18365432.0,-498928812.0
2025-01-26,35782766.0,-463146046.0
2025-01-27,-15484006.0,-478630052.0
2025-01-28,33770089.0,-444859963.0
2025-01-29,-82846100.0,-527706063.0
2025-01-30,-78124619.0,-605830682.0
2025-01-31,29730375.0,-576100307.0
2025-02-01,186083320.0,-390016987.0
2025-02-02,99804125.0,-290212862.0
2025-02-03,-55604543.0,-345817405.0
2025-02-04,9672272.0,-336145133.0
2025-02-05,-35900552.0,-372045685.0
2025-02-06,16042296.0,-356003389.0
2025-02-07,20095660.0,-335907729.0
2025-02-08,-52560831.0,-388468560.0
2025-02-09,-16858057.0,-405326617.0
2025-02-10,-48628560.0,-453955177.0
2025-02-11,39562124.0,-414393053.0
2025-02-12,-82903647.0,-497296700.0
2025-02-13,41198825.0,-456097875.0
2025-02-14,-74850035.0,-530947910.0
2025-02-15,9918777.0,-521029133.0
2025-02-16,39654618.0,-481374515.0
2025-02-17,-28088599.0,-509463114.0
2025-02-18,49633768.0,-459829346.0
2025-02-19,-19315176.0,-479144522.0
2025-02-20,-32322640.0,-511467162.0
2025-02-21,102688484.0,-408778678.0
2025-02-22,-57978381.0,-466757059.0
2025-02-23,-8662877.0,-475419936.0
2025-02-24,-107961261.0,-583381197.0
2025-02-25,157992236.0,-425388961.0
