Date,PNL (OX),Cumulative PNL (OX)
2024-08-16,-218552.0,-218552.0
2024-08-17,-17336138.0,-17554690.0
2024-08-18,-9274122.0,-26828812.0
2024-08-19,13325998.0,-13502814.0
2024-08-20,-6869724.0,-20372538.0
2024-08-21,-27803336.0,-48175874.0
2024-08-22,6943534.0,-41232340.0
2024-08-23,-71843566.0,-113075906.0
2024-08-24,810606.0,-112265300.0
2024-08-25,-6155359.0,-118420659.0
2024-08-26,34256269.0,-84164390.0
2024-08-27,87223130.0,3058740.0
2024-08-28,-21562396.0,-18503656.0
2024-08-29,2173818.0,-16329838.0
2024-08-30,-5454517.0,-21784355.0
2024-08-31,9281780.0,-12502575.0
2024-09-01,64569172.0,52066597.0
2024-09-02,-81948008.0,-29881411.0
2024-09-03,57139564.0,27258153.0
2024-09-04,-18701309.0,8556844.0
2024-09-05,69383426.0,77940270.0
2024-09-06,130770916.0,208711186.0
2024-09-07,-31274786.0,177436400.0
2024-09-08,-40307659.0,137128741.0
2024-09-09,-102294969.0,34833772.0
2024-09-10,-23214496.0,11619276.0
2024-09-11,15901446.0,27520722.0
2024-09-12,-29371930.0,-1851208.0
2024-09-13,-41447166.0,-43298374.0
2024-09-14,4728181.0,-38570193.0
2024-09-15,25387920.0,-13182273.0
2024-09-16,29627271.0,16444998.0
2024-09-17,-53818811.0,-37373813.0
2024-09-18,-23244496.0,-60618309.0
2024-09-19,-54087171.0,-114705480.0
2024-09-20,-4948218.0,-119653698.0
2024-09-21,1985360.0,-117668338.0
2024-09-22,1320393.0,-116347945.0
2024-09-23,-11917869.0,-128265814.0
2024-09-24,3167107.0,-125098707.0
2024-09-25,-8759340.0,-133858047.0
2024-09-26,-9059253.0,-142917300.0
2024-09-27,4328931.0,-138588369.0
2024-09-28,-4303913.0,-142892282.0
2024-09-29,-25155265.0,-168047547.0
2024-09-30,5843186.0,-162204361.0
2024-10-01,52161261.0,-110043100.0
2024-10-02,45554801.0,-64488299.0
2024-10-03,19167817.0,-45320482.0
2024-10-04,-93912056.0,-139232538.0
2024-10-05,8049215.0,-131183323.0
2024-10-06,-54458149.0,-185641472.0
2024-10-07,-65030259.0,-250671731.0
2024-10-08,-58485365.0,-309157096.0
2024-10-09,67082272.0,-242074824.0
2024-10-10,8447277.0,-233627547.0
2024-10-11,-113321168.0,-346948715.0
2024-10-12,-42820947.0,-389769662.0
2024-10-13,-751619.0,-390521281.0
2024-10-14,-36029862.0,-426551143.0
2024-10-15,22730412.0,-403820731.0
2024-10-16,-19940154.0,-423760885.0
2024-10-17,6461597.0,-417299288.0
2024-10-18,-32743142.0,-450042430.0
2024-10-19,35668898.0,-414373532.0
2024-10-20,-82085023.0,-496458555.0
2024-10-21,76350495.0,-420108060.0
2024-10-22,7601749.0,-412506311.0
2024-10-23,68193893.0,-344312418.0
2024-10-24,-14140010.0,-358452428.0
2024-10-25,47260948.0,-311191480.0
2024-10-26,-13964675.0,-325156155.0
2024-10-27,-21124089.0,-346280244.0
2024-10-28,-44183847.0,-390464091.0
2024-10-29,-35437142.0,-425901233.0
2024-10-30,30044605.0,-395856628.0
2024-10-31,56522394.0,-339334234.0
2024-11-01,22661438.0,-316672796.0
2024-11-02,27750646.0,-288922150.0
2024-11-03,27566805.0,-261355345.0
2024-11-04,60319114.0,-201036231.0
2024-11-05,-93438700.0,-294474931.0
2024-11-06,-247404180.0,-541879111.0
2024-11-07,36729002.0,-505150109.0
